symbol,date,close,volume,ret_1,vol_ratio,ret_1_lag1,ret_1_lag2,ret_1_lag3,vol_ratio_lag1,vol_ratio_lag2,vol_ratio_lag3,is_price_lt_500,top_buyer,top_buyer_concentration,top_buyer_net_value,total_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
BUVA,2025-09-02,,,,,,,,,,,0,,,,,,,,
BVIC,2025-09-02,,,,,,,,,,,0,,,,,,,,
BWPT,2025-09-02,,,,,,,,,,,0,,,,,,,,
BYAN,2025-09-02,,,,,,,,,,,0,,,,,,,,
CAKK,2025-09-02,,,,,,,,,,,0,,,,,,,,
CAMP,2025-09-02,,,,,,,,,,,0,,,,,,,,
CANI,2025-09-02,,,,,,,,,,,0,,,,,,,,
CARE,2025-09-02,,,,,,,,,,,0,,,,,,,,
CARS,2025-09-02,,,,,,,,,,,0,,,,,,,,
CASA,2025-09-02,,,,,,,,,,,0,,,,,,,,
CASH,2025-09-02,,,,,,,,,,,0,,,,,,,,
CASS,2025-09-02,,,,,,,,,,,0,,,,,,,,
CBDK,2025-09-02,,,,,,,,,,,0,,,,,,,,
CBMF,2025-09-02,,,,,,,,,,,0,,,,,,,,
CBPE,2025-09-02,,,,,,,,,,,0,,,,,,,,
CBRE,2025-09-02,,,,,,,,,,,0,,,,,,,,
CBUT,2025-09-02,,,,,,,,,,,0,,,,,,,,
CCSI,2025-09-02,,,,,,,,,,,0,,,,,,,,
CDIA,2025-09-02,,,,,,,,,,,0,,,,,,,,
CEKA,2025-09-02,,,,,,,,,,,0,,,,,,,,
CENT,2025-09-02,,,,,,,,,,,0,,,,,,,,
CFIN,2025-09-02,,,,,,,,,,,0,,,,,,,,
CGAS,2025-09-02,,,,,,,,,,,0,,,,,,,,
CHEK,2025-09-02,,,,,,,,,,,0,,,,,,,,
CHEM,2025-09-02,,,,,,,,,,,0,,,,,,,,
CHIP,2025-09-02,,,,,,,,,,,0,,,,,,,,
CINT,2025-09-02,,,,,,,,,,,0,,,,,,,,
CITA,2025-09-02,,,,,,,,,,,0,,,,,,,,
CITY,2025-09-02,,,,,,,,,,,0,,,,,,,,
CLAY,2025-09-02,,,,,,,,,,,0,,,,,,,,
CLEO,2025-09-02,,,,,,,,,,,0,,,,,,,,
CLPI,2025-09-02,,,,,,,,,,,0,,,,,,,,
CMNP,2025-09-02,,,,,,,,,,,0,,,,,,,,
CMNT,2025-09-02,,,,,,,,,,,0,,,,,,,,
CMPP,2025-09-02,,,,,,,,,,,0,,,,,,,,
CMRY,2025-09-02,,,,,,,,,,,0,,,,,,,,
CNKO,2025-09-02,,,,,,,,,,,0,,,,,,,,
CNMA,2025-09-02,,,,,,,,,,,0,,,,,,,,
CNTX,2025-09-02,,,,,,,,,,,0,,,,,,,,
COAL,2025-09-02,,,,,,,,,,,0,,,,,,,,
COCO,2025-09-02,,,,,,,,,,,0,,,,,,,,
COIN,2025-09-02,,,,,,,,,,,0,,,,,,,,
COWL,2025-09-02,,,,,,,,,,,0,,,,,,,,
CPIN,2025-09-02,,,,,,,,,,,0,,,,,,,,
CPRI,2025-09-02,,,,,,,,,,,0,,,,,,,,
CPRO,2025-09-02,,,,,,,,,,,0,,,,,,,,
CRAB,2025-09-02,,,,,,,,,,,0,,,,,,,,
CRSN,2025-09-02,,,,,,,,,,,0,,,,,,,,
CSAP,2025-09-02,,,,,,,,,,,0,,,,,,,,
CSIS,2025-09-02,,,,,,,,,,,0,,,,,,,,
CSMI,2025-09-02,,,,,,,,,,,0,,,,,,,,
CSRA,2025-09-02,,,,,,,,,,,0,,,,,,,,
CTBN,2025-09-02,,,,,,,,,,,0,,,,,,,,
CTRA,2025-09-02,,,,,,,,,,,0,,,,,,,,
CTTH,2025-09-02,,,,,,,,,,,0,,,,,,,,
