broker_source_date,symbol,total_net_value,top_buyer,top_buyer_concentration,top_buyer_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
2025-09-03,FPNI,-77300,XL,0.3886117717663144,36780200,10,8,18,0.0
2025-09-03,FUJI,-2422800,CC,0.5906590649698881,88289000,10,6,16,0.0
2025-09-03,FUTR,-415066400,YP,0.20855049899180683,1086716400,10,10,20,0.0
2025-09-03,FWCT,-9253400,XL,0.37285380670932616,163028500,10,8,18,0.0
2025-09-03,GDST,0,KK,0.30417281045617317,11840900,10,9,19,0.0
2025-09-03,GDYR,0,XC,0.7494736842105263,356000,2,3,5,0.0
2025-09-03,GEMA,-5300,XL,0.35211500347972174,99723300,10,10,20,0.0
2025-09-03,GEMS,-20652500,CC,0.2095363503159634,324620000,10,10,20,0.0
2025-09-03,GGRM,285127500,AK,0.8264816664671009,3779027500,10,10,20,0.0
2025-09-03,GGRP,-110600,NI,0.2187612168221004,20600000,10,10,20,0.0
2025-09-03,GHON,0,XL,0.5003709198813057,674500,3,3,6,0.0
2025-09-03,GIAA,-35956700,YP,0.3747731741701133,232161900,10,6,16,0.0
2025-09-03,GJTL,-71823500,AO,0.35116061577575164,821000000,10,10,20,0.0
2025-09-03,GLOB,0,YP,0.41061874056797915,598600,5,4,9,0.0
2025-09-03,GLVA,0,DR,0.4041272570937231,658000,6,2,8,0.0
2025-09-03,GMFI,373000,NI,0.5477878836801193,57342600,8,10,18,0.0
2025-09-03,GMTD,0,XC,1.0,1130000,1,3,4,0.0
2025-09-03,GOLD,0,YB,0.7581943310393094,3900000,7,4,11,0.0
2025-09-03,GOLF,-26837600,XL,0.431408500267181,165503400,10,10,20,0.0
2025-09-03,GOOD,-554800,YP,0.24316639945662905,12315600,10,8,18,0.0
2025-09-03,GOTO,-4268220400,AK,0.34379867744523607,9967674400,10,10,20,0.0
2025-09-03,GPRA,-165814400,BQ,0.7871874675770382,7894372100,10,10,20,0.0
2025-09-03,GPSO,1279200,KK,0.6777603119925011,702802200,10,10,20,0.0
2025-09-03,GRIA,29264700,MG,0.4423389261847342,463973900,7,10,17,0.0
2025-09-03,GRPH,-206565100,PD,0.2528053757681476,1270958600,10,10,20,0.0
2025-09-03,GRPM,-850000,XC,0.28292893752033843,27822100,10,10,20,0.0
2025-09-03,GSMF,-184904700,PD,0.27029839525277344,196628000,10,10,20,0.0
2025-09-03,GTBO,0,XL,0.4259623111869188,12986100,7,10,17,0.0
2025-09-03,GTRA,39300,CP,0.4719609270508798,29888200,10,10,20,0.0
2025-09-03,GTSI,-490268200,XL,0.29143161422558794,1208603100,10,10,20,0.0
2025-09-03,GULA,14781400,XL,0.6219737877830468,149023800,10,10,20,0.0
2025-09-03,GUNA,0,XC,0.5243327064568281,12713600,7,10,17,0.0
2025-09-03,GWSA,-76500,YP,0.6013455405223853,70273300,10,5,15,0.0
2025-09-03,GZCO,-1136123800,SQ,0.39062625414775204,5136293600,10,10,20,0.0
2025-09-03,HADE,177000,OD,0.4905433080351765,12216000,3,10,13,0.0
2025-09-03,HAIS,-1435600,PF,0.6112464717748886,132987000,10,7,17,0.0
2025-09-03,HAJJ,-36725800,AZ,0.184518937908185,57062500,10,10,20,0.0
2025-09-03,HALO,-662000,SQ,0.39152428266937733,29427200,10,8,18,0.0
2025-09-03,HATM,-18244800,AZ,0.7420550056940848,2186644800,10,10,20,0.0
2025-09-03,HDFA,25600,YP,0.9440252563929307,25147700,3,10,13,0.0
2025-09-03,HDIT,-16762800,XL,0.38334096099721204,208062600,10,10,20,0.0
