symbol,date,close,volume,ret_1,vol_ratio,ret_1_lag1,ret_1_lag2,ret_1_lag3,vol_ratio_lag1,vol_ratio_lag2,vol_ratio_lag3,is_price_lt_500,top_buyer,top_buyer_concentration,top_buyer_net_value,total_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio,price_source_date,broker_source_date,age_price_days,age_broker_days,is_market_closed
PPGL,2025-09-04,104.0,317800.0,-0.00952380952380949,1.7145940113299163,,,,1.0,,,1,LG,0.6812131238868584,16140800.0,0.0,8.0,5.0,13.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PPRE,2025-09-04,107.0,171977200.0,-0.13008130081300817,0.30304162855016503,,,,1.0,,,1,GR,0.4190549984670643,1484249600.0,-213242400.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PPRI,2025-09-04,286.0,49440200.0,0.10000000000000009,1.7404568328671832,,,,1.0,,,1,GR,0.2666491898515862,734385200.0,79381400.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PPRO,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
PRAY,2025-09-04,695.0,13400.0,0.0,0.7444444444444445,,,,1.0,,,0,XL,0.3467650016761649,2586000.0,0.0,6.0,5.0,11.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PRDA,2025-09-04,2690.0,34100.0,0.0074906367041198685,0.5683333333333334,,,,1.0,,,0,XL,0.49379357252168,23232000.0,0.0,7.0,7.0,14.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PRIM,2025-09-04,93.0,40820600.0,-0.010638297872340385,0.43751748382913275,,,,1.0,,,1,YP,0.4512423278224967,408362800.0,-30941700.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PSAB,2025-09-04,565.0,304807600.0,-0.07377049180327866,0.9616232603547412,,,,1.0,,,0,XL,0.2091661165446968,7119893500.0,-6406142500.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PSAT,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
PSDN,2025-09-04,105.0,8285300.0,0.06060606060606055,0.5188966096015882,,,,1.0,,,1,CP,0.6990739652091617,264588800.0,6445900.0,7.0,10.0,17.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PSGO,2025-09-04,206.0,740500.0,0.0,0.6165951954702528,,,,1.0,,,1,OD,0.3715600101648803,19885000.0,0.0,9.0,4.0,13.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PSKT,2025-09-04,117.0,21192800.0,0.0,0.9564703280634373,,,,1.0,,,1,ES,0.8299154208728867,1323188100.0,17808000.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
