date,symbol,total_net_value,top_buyer,top_buyer_concentration,top_buyer_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
2025-08-29,CITA,-3530000.0,PD,0.5732609724876817,245358000.0,10,10,20,0.3
2025-08-29,CITY,-1238900.0,XL,0.4922259405500371,67809800.0,10,10,20,0.3
2025-08-29,CLAY,0.0,RG,0.6699466378368378,29618000.0,5,6,11,0.36363636363636365
2025-08-29,CLEO,-402704500.0,YP,0.48392746323497093,762306000.0,10,10,20,0.25
2025-08-29,CLPI,2000.0,NI,0.9140104039381349,165956500.0,8,10,18,0.2777777777777778
2025-08-29,CMNP,6686000.0,RS,0.8432112535904737,569345000.0,10,10,20,0.25
2025-08-29,CMNT,-370080000.0,ZP,0.6520667524312658,1905900500.0,10,10,20,0.1
2025-08-29,CMPP,0.0,AO,0.8383017163504969,6650000.0,10,4,14,0.2857142857142857
2025-08-29,CMRY,389432000.0,KZ,0.9381929556039708,8831962000.0,6,10,16,0.3125
2025-08-29,CNKO,-352035500.0,GR,0.5286084879576398,1733766000.0,10,10,20,0.2
2025-08-29,CNMA,-193529800.0,XL,0.6336730710325362,1090525300.0,10,10,20,0.25
2025-08-29,COAL,41114800.0,FS,0.5218524965511264,240354600.0,10,10,20,0.3
2025-08-29,COCO,107467500.0,AK,0.6413184045739178,1360380000.0,10,10,20,0.2
2025-08-29,CPIN,-2173102000.0,OD,0.5503250184736171,7145833000.0,10,10,20,0.2
2025-08-29,CPRO,-2375613500.0,GR,0.3637094215434588,4181697000.0,10,10,20,0.2
2025-08-29,CRAB,0.0,BQ,0.9983568247224254,323543800.0,5,9,14,0.35714285714285715
2025-08-29,CRSN,27500.0,EP,0.71927026816386,25938000.0,10,10,20,0.25
2025-08-29,CSAP,0.0,XA,0.7188932793371909,35869400.0,8,5,13,0.38461538461538464
2025-08-29,CSIS,444600.0,OD,0.7776445158728255,70670100.0,8,10,18,0.2777777777777778
2025-08-29,CSMI,0.0,DR,0.627364079432142,99445600.0,10,8,18,0.2777777777777778
2025-08-29,CSRA,51788000.0,CP,0.6383624270704829,1088290000.0,10,10,20,0.25
2025-08-29,CTBN,0.0,XL,1.0,3970000.0,2,3,5,0.4
2025-08-29,CTRA,-7001877500.0,CC,0.43415847730677004,6526839000.0,10,9,19,0.2631578947368421
2025-08-29,CTTH,4100.0,YB,0.9990568464374517,43792100.0,4,10,14,0.2857142857142857
