symbol,date,close,volume,source_date
GPRA,2025-09-05,129.0,139806000.0,2025-09-04
GPSO,2025-09-05,270.0,7895100.0,2025-09-04
GRIA,2025-09-05,125.0,107677800.0,2025-09-04
GRPH,2025-09-05,72.0,50024700.0,2025-09-04
GRPM,2025-09-05,54.0,5223600.0,2025-09-04
GSMF,2025-09-05,113.0,10757900.0,2025-09-04
GTBO,2025-09-05,197.0,151700.0,2025-09-04
GTRA,2025-09-05,139.0,852100.0,2025-09-04
GTSI,2025-09-05,92.0,66359100.0,2025-09-04
GULA,2025-09-05,326.0,1324700.0,2025-09-04
GUNA,2025-09-05,242.0,201500.0,2025-09-04
GWSA,2025-09-05,155.0,429900.0,2025-09-04
GZCO,2025-09-05,218.0,162718300.0,2025-09-04
HADE,2025-09-05,33.0,3019500.0,2025-09-04
HAIS,2025-09-05,192.0,3772600.0,2025-09-04
HAJJ,2025-09-05,122.0,3817000.0,2025-09-04
HALO,2025-09-05,85.0,4683600.0,2025-09-04
HATM,2025-09-05,250.0,23753900.0,2025-09-04
HBAT,2025-09-05,,,2025-09-05
HDFA,2025-09-05,125.0,103100.0,2025-09-04
HDIT,2025-09-05,60.0,13771200.0,2025-09-04
HEAL,2025-09-05,1635.0,8330300.0,2025-09-04
HELI,2025-09-05,250.0,531700.0,2025-09-04
HERO,2025-09-05,396.0,5200.0,2025-09-04
HEXA,2025-09-05,5525.0,308300.0,2025-09-04
HGII,2025-09-05,,,2025-09-05
HILL,2025-09-05,208.0,113964500.0,2025-09-04
HITS,2025-09-05,,,2025-09-05
HKMU,2025-09-05,,,2025-09-05
HMSP,2025-09-05,535.0,5734400.0,2025-09-04
HOKI,2025-09-05,79.0,30774000.0,2025-09-04
HOME,2025-09-05,,,2025-09-05
HOMI,2025-09-05,212.0,1183900.0,2025-09-04
HOPE,2025-09-05,162.0,4195400.0,2025-09-04
HOTL,2025-09-05,,,2025-09-05
HRME,2025-09-05,39.0,745400.0,2025-09-04
HRTA,2025-09-05,835.0,146426200.0,2025-09-04
HRUM,2025-09-05,1035.0,91352200.0,2025-09-04
HUMI,2025-09-05,161.0,190831600.0,2025-09-04
HYGN,2025-09-05,160.0,1169300.0,2025-09-04
IATA,2025-09-05,59.0,13471200.0,2025-09-04
IBFN,2025-09-05,30.0,1359100.0,2025-09-04
IBOS,2025-09-05,44.0,131679300.0,2025-09-04
IBST,2025-09-05,5975.0,3000.0,2025-09-04
ICBP,2025-09-05,9250.0,2740200.0,2025-09-04
ICON,2025-09-05,50.0,1662300.0,2025-09-04
IDEA,2025-09-05,84.0,5354400.0,2025-09-04
IDPR,2025-09-05,240.0,382000.0,2025-09-04
IFII,2025-09-05,252.0,2297300.0,2025-09-04
IFSH,2025-09-05,780.0,88400.0,2025-09-04
IGAR,2025-09-05,525.0,28300.0,2025-09-04
IIKP,2025-09-05,,,2025-09-05
IKAI,2025-09-05,22.0,10038000.0,2025-09-04
IKAN,2025-09-05,142.0,353140800.0,2025-09-04
IKBI,2025-09-05,498.0,1080900.0,2025-09-04
IKPM,2025-09-05,224.0,885300.0,2025-09-04
IMAS,2025-09-05,1130.0,737100.0,2025-09-04
IMJS,2025-09-05,238.0,8872500.0,2025-09-04
IMPC,2025-09-05,1430.0,83634700.0,2025-09-04
INAF,2025-09-05,,,2025-09-05
INAI,2025-09-05,157.0,75500.0,2025-09-04
INCF,2025-09-05,42.0,3141300.0,2025-09-04
INCI,2025-09-05,610.0,137300.0,2025-09-04
INCO,2025-09-05,3910.0,12034500.0,2025-09-04
INDF,2025-09-05,7525.0,4236900.0,2025-09-04
INDO,2025-09-05,218.0,6706500.0,2025-09-04
INDR,2025-09-05,2550.0,74500.0,2025-09-04
INDS,2025-09-05,222.0,140800.0,2025-09-04
INDX,2025-09-05,86.0,4971500.0,2025-09-04
INDY,2025-09-05,1570.0,170877100.0,2025-09-04
INET,2025-09-05,220.0,177434800.0,2025-09-04
INKP,2025-09-05,7900.0,2938300.0,2025-09-04
INOV,2025-09-05,99.0,606700.0,2025-09-04
INPC,2025-09-05,169.0,18605000.0,2025-09-04
INPP,2025-09-05,800.0,44800.0,2025-09-04
INPS,2025-09-05,112.0,110400.0,2025-09-04
INRU,2025-09-05,835.0,1482600.0,2025-09-04
INTA,2025-09-05,23.0,14843000.0,2025-09-04
INTD,2025-09-05,194.0,239600.0,2025-09-04
INTP,2025-09-05,6900.0,1080900.0,2025-09-04
IOTF,2025-09-05,102.0,368142000.0,2025-09-04
IPAC,2025-09-05,150.0,42400.0,2025-09-04
IPCC,2025-09-05,1110.0,2345800.0,2025-09-04
IPCM,2025-09-05,294.0,2063400.0,2025-09-04
