symbol,date,close,volume
MCAS,2025-09-02,,
MCOL,2025-09-02,,
MCOR,2025-09-02,,
MDIA,2025-09-02,,
MDIY,2025-09-02,,
MDKA,2025-09-02,,
MDKI,2025-09-02,,
MDLA,2025-09-02,,
MDLN,2025-09-02,,
MDRN,2025-09-02,,
MEDC,2025-09-02,,
MEDS,2025-09-02,,
MEGA,2025-09-02,,
MEJA,2025-09-02,,
MENN,2025-09-02,,
MERI,2025-09-02,,
MERK,2025-09-02,,
META,2025-09-02,,
MFIN,2025-09-02,,
MFMI,2025-09-02,,
MGLV,2025-09-02,,
MGNA,2025-09-02,,
MGRO,2025-09-02,,
MHKI,2025-09-02,,
MICE,2025-09-02,,
MIDI,2025-09-02,,
MIKA,2025-09-02,,
MINA,2025-09-02,,
MINE,2025-09-02,,
MIRA,2025-09-02,,
MITI,2025-09-02,,
MKAP,2025-09-02,,
MKNT,2025-09-02,,
MKPI,2025-09-02,,
MKTR,2025-09-02,,
MLBI,2025-09-02,,
MLIA,2025-09-02,,
MLPL,2025-09-02,,
MLPT,2025-09-02,,
MMIX,2025-09-02,,
MMLP,2025-09-02,,
MNCN,2025-09-02,,
MOLI,2025-09-02,,
MORA,2025-09-02,,
MPIX,2025-09-02,,
MPMX,2025-09-02,,
MPOW,2025-09-02,,
MPPA,2025-09-02,,
MPRO,2025-09-02,,
MPXL,2025-09-02,,
MRAT,2025-09-02,,
MREI,2025-09-02,,
MSIE,2025-09-02,,
MSIN,2025-09-02,,
MSJA,2025-09-02,,
MSKY,2025-09-02,,
MSTI,2025-09-02,,
MTDL,2025-09-02,,
MTEL,2025-09-02,,
MTFN,2025-09-02,,
MTLA,2025-09-02,,
MTMH,2025-09-02,,
MTPS,2025-09-02,,
MTRA,2025-09-02,,
MTSM,2025-09-02,,
MTWI,2025-09-02,,
MUTU,2025-09-02,,
MYOH,2025-09-02,,
MYOR,2025-09-02,,
MYTX,2025-09-02,,
NAIK,2025-09-02,,
NANO,2025-09-02,,
NASA,2025-09-02,,
NASI,2025-09-02,,
NATO,2025-09-02,,
NAYZ,2025-09-02,,
